


商品名称 ：铜                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,253518,41069,期货公司  ,347786,10783,期货公司  ,341642,10183,
非期货公司,1570,-617,非期货公司,1873,233,非期货公司,8017,833,
合约代码 ：cu2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,国贸期货  ,2370,1345,1,中信期货  ,3630,375,1,铜冠金源  ,7110,270,
2,五矿经易  ,1955,40,2,国贸期货  ,3485,520,2,五矿经易  ,5850,-180,
3,金瑞期货  ,1760,45,3,五矿经易  ,2660,705,3,金瑞期货  ,2055,-120,
4,中信期货  ,1620,-3250,4,银河期货  ,1400,280,4,中信期货  ,1225,-445,
5,建信期货  ,1395,710,5,中银国际  ,1170,90,5,迈科期货  ,1085,0,
6,铜冠金源  ,810,560,6,广发期货  ,1055,155,6,华金期货  ,760,0,
7,一德期货  ,805,345,7,金瑞期货  ,970,-100,7,兴业期货  ,505,20,
8,方正中期  ,710,230,8,建信期货  ,765,-625,8,摩根大通  ,400,0,
9,华安期货  ,705,350,9,华安期货  ,635,-185,9,一德期货  ,300,-40,
10,格林大华  ,600,-150,10,国泰君安  ,605,-245,10,海通期货  ,230,-10,
11,银河期货  ,600,540,11,中航期货  ,595,-440,11,建信期货  ,225,-110,
12,华泰期货  ,590,420,12,方正中期  ,490,-135,12,国贸期货  ,140,-500,
13,中航期货  ,440,365,13,一德期货  ,470,-285,13,国投安信  ,120,-125,
14,云晨期货  ,435,335,14,中信建投  ,440,-60,14,方正中期  ,115,-45,
15,华金期货  ,350,250,15,华金期货  ,420,-350,15,东华期货  ,100,-5,
16,国泰君安  ,325,-645,16,格林大华  ,365,-155,16,格林大华  ,85,-105,
17,新湖期货  ,295,90,17,国投安信  ,340,0,17,新纪元    ,85,0,
18,中信建投  ,270,190,18,中粮期货  ,320,-30,18,东证期货  ,75,0,
19,中粮期货  ,260,195,19,南华期货  ,230,-125,19,上海中期  ,60,0,
20,广发期货  ,260,35,20,华泰期货  ,225,-360,20,首创期货  ,60,-20,
合计,,16555,2000,合计,,20270,-970,合计,,20585,-1415,
合约代码 ：cu2003                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,9581,-2834,1,金瑞期货  ,8781,829,1,五矿经易  ,14426,-198,
2,东证期货  ,6928,2194,2,中信期货  ,7684,1383,2,中信期货  ,10898,1092,
3,五矿经易  ,5517,1394,3,永安期货  ,6804,-996,3,金瑞期货  ,8184,227,
4,中信期货  ,5427,1219,4,国贸期货  ,6167,-239,4,国贸期货  ,6297,-108,
5,海通期货  ,2872,1079,5,中航期货  ,4231,93,5,国投安信  ,5294,-4,
6,国富期货  ,2687,156,6,华泰期货  ,4023,-25,6,国泰君安  ,4408,-236,
7,国贸期货  ,2207,444,7,银河期货  ,3954,42,7,铜冠金源  ,3966,-51,
8,国投安信  ,2086,1056,8,一德期货  ,3858,76,8,银河期货  ,3925,238,
9,永安期货  ,2073,1619,9,南华期货  ,3417,-592,9,建信期货  ,3847,-299,
10,金瑞期货  ,1614,150,10,海通期货  ,3241,31,10,华安期货  ,3219,326,
11,铜冠金源  ,1499,244,11,国泰君安  ,2821,277,11,方正中期  ,2441,365,
12,中银国际  ,1491,1385,12,建信期货  ,2811,374,12,云晨期货  ,2417,-109,
13,兴证期货  ,1451,1228,13,铜冠金源  ,2381,-102,13,中粮期货  ,2396,167,
14,建信期货  ,1409,628,14,五矿经易  ,2329,-317,14,中银国际  ,2240,145,
15,方正中期  ,1373,-331,15,弘业期货  ,2072,83,15,格林大华  ,2237,-4,
16,国信期货  ,1353,118,16,云晨期货  ,2065,258,16,广发期货  ,2049,-7,
17,银河期货  ,1332,-313,17,大有期货  ,1839,-82,17,迈科期货  ,2018,-1,
18,华安期货  ,1257,668,18,信达期货  ,1729,-13,18,东证期货  ,1971,-88,
19,国泰君安  ,1255,275,19,方正中期  ,1679,-42,19,华泰期货  ,1921,120,
20,南华期货  ,1032,281,20,新湖期货  ,1650,-28,20,兴业期货  ,1811,51,
合计,,54444,10660,合计,,73536,1010,合计,,85965,1626,
合约代码 ：cu2004                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,15100,-2305,1,永安期货  ,8432,1004,1,中信期货  ,11487,1073,
2,东证期货  ,10527,3404,2,国泰君安  ,7084,2368,2,五矿经易  ,7901,1327,
3,海通期货  ,5420,1641,3,金瑞期货  ,5553,29,3,金瑞期货  ,6579,313,
4,国泰君安  ,4940,3279,4,中信期货  ,4299,287,4,海通期货  ,5962,77,
