

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,金瑞期货  ,3290,195,1,五矿经易  ,4410,-380,1,铜冠金源  ,5335,880,
2,国贸期货  ,2095,5,2,银河期货  ,4400,135,2,金瑞期货  ,3480,-2235,
3,银河期货  ,1905,300,3,中信期货  ,3930,-200,3,五矿经易  ,3375,-105,
4,铜冠金源  ,1620,915,4,国贸期货  ,2920,-680,4,国贸期货  ,2655,-1125,
5,五矿经易  ,1535,-3775,5,国泰君安  ,1210,110,5,海通期货  ,1035,-35,
6,中信期货  ,1490,-815,6,国投安信  ,1140,-10,6,国泰君安  ,820,-275,
7,一德期货  ,1020,220,7,华金期货  ,990,0,7,南华期货  ,795,10,
8,兴业期货  ,930,-890,8,广发期货  ,690,15,8,银河期货  ,660,-340,
9,中航期货  ,830,180,9,一德期货  ,425,-330,9,广发期货  ,580,-130,
10,华泰期货  ,800,-60,10,中银国际  ,400,90,10,中信期货  ,560,-810,
11,东证期货  ,775,-495,11,方正中期  ,385,20,11,中银国际  ,525,110,
12,方正中期  ,520,470,12,金瑞期货  ,310,-835,12,华金期货  ,420,-20,
13,中信建投  ,490,110,13,建信期货  ,255,-220,13,浙商期货  ,345,0,
14,建信期货  ,485,-300,14,大地期货  ,235,0,14,中粮期货  ,300,-85,
15,国投安信  ,470,240,15,东航期货  ,200,0,15,格林大华  ,260,-150,
16,格林大华  ,470,-465,16,首创期货  ,200,0,16,一德期货  ,220,-90,
17,中银国际  ,450,-135,17,南华期货  ,190,-170,17,迈科期货  ,200,0,
18,国泰君安  ,405,-915,18,格林大华  ,180,-320,18,中信建投  ,185,-5,
19,兴证期货  ,365,-180,19,兴业期货  ,150,-95,19,兴业期货  ,160,-105,
20,广发期货  ,315,110,20,迈科期货  ,125,-25,20,德盛期货  ,155,0,
合计,,20260,-5285,合计,,22745,-2895,合计,,22065,-4510,
合约代码 ：cu2004                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,24595,2176,1,金瑞期货  ,11346,88,1,中信期货  ,15999,70,
2,东证期货  ,17349,2519,2,中信期货  ,8199,-61,2,五矿经易  ,14833,168,
3,五矿经易  ,10893,2486,3,国贸期货  ,7655,1,3,金瑞期货  ,13761,756,
4,国富期货  ,10877,3924,4,永安期货  ,6791,13,4,国投安信  ,6596,-128,
5,中信期货  ,8843,-1646,5,中航期货  ,5562,-30,5,国泰君安  ,5843,355,
6,国投安信  ,8395,2887,6,国泰君安  ,4892,254,6,国贸期货  ,5762,-420,
7,海通期货  ,6475,3264,7,华泰期货  ,4646,115,7,银河期货  ,4504,120,
8,国信期货  ,4739,1875,8,华安期货  ,4261,7,8,海通期货  ,4409,39,
9,金瑞期货  ,4670,-825,9,五矿经易  ,4231,-137,9,建信期货  ,3694,-359,
10,兴证期货  ,4590,868,10,一德期货  ,3674,-473,10,华安期货  ,3271,12,
11,国泰君安  ,3821,1621,11,银河期货  ,3589,-313,11,瑞达期货  ,2988,-20,
12,银河期货  ,3477,-340,12,建信期货  ,3097,-189,12,南华期货  ,2469,-52,
13,方正中期  ,3375,881,13,南华期货  ,2682,169,13,中银国际  ,2148,-301,
14,一德期货  ,2844,1429,14,国联期货  ,2322,58,14,一德期货  ,2064,-519,
15,国贸期货  ,2733,-16,15,海通期货  ,2290,36,15,格林大华  ,1891,29,
16,中辉期货  ,2122,156,16,云晨期货  ,2176,-36,16,东证期货  ,1854,-154,
17,华安期货  ,1893,-815,17,方正中期  ,2124,86,17,云晨期货  ,1597,94,
18,中信建投  ,1749,840,18,兴业期货  ,2075,102,18,信达期货  ,1584,75,
19,大有期货  ,1662,-97,19,东吴期货  ,1929,-10,19,广发期货  ,1547,-89,
20,华闻期货  ,1642,-212,20,首创期货  ,1870,23,20,永安期货  ,1479,59,
合计,,126744,20975,合计,,85411,-297,合计,,98293,-265,
合约代码 ：cu2005                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,43082,9300,1,金瑞期货  ,10677,-93,1,中信期货  ,10612,55,
2,东证期货  ,24461,5183,2,中信期货  ,7415,-531,2,五矿经易  ,10170,751,
3,中信期货  ,19228,3728,3,国泰君安  ,6428,251,3,金瑞期货  ,8983,322,
4,海通期货  ,12832,3011,4,上海大陆  ,4684,-94,4,中粮期货  ,6567,-405,
5,五矿经易  ,11716,6678,5,永安期货  ,4283,216,5,建信期货  ,5995,458,
6,国富期货  ,11222,3221,6,信达期货  ,4005,-173,6,国泰君安  ,5185,-153,
7,国信期货  ,6940,1442,7,弘业期货  ,3147,217,7,海通期货  ,4673,-942,
8,银河期货  ,6861,1883,8,南华期货  ,2943,-170,8,华安期货  ,3815,-377,
9,金瑞期货  ,6785,1723,9,海通期货  ,2916,50,9,广发期货  ,3576,139,
10,国投安信  ,5615,665,10,银河期货  ,2873,195,10,云晨期货  ,2768,-549,
11,国泰君安  ,5282,831,11,方正中期  ,2859,86,11,国贸期货  ,2700,140,
12,兴证期货  ,5104,-959,12,华泰期货  ,2741,336,12,浙商期货  ,2675,-123,
13,华安期货  ,4813,2279,13,国贸期货  ,2215,-10,13,大有期货  ,2538,-32,
14,方正中期  ,4368,1063,14,道通期货  ,2086,-5,14,鲁证期货  ,2531,-22,
15,大有期货  ,3747,514,15,宝城期货  ,2083,1,15,格林大华  ,2388,43,
16,永安期货  ,3727,1283,16,上海中期  ,1928,-23,16,兴业期货  ,2078,-33,
17,光大期货  ,3590,1337,17,云晨期货  ,1882,-42,17,南华期货  ,2065,37,
18,长城期货  ,3577,874,18,新湖期货  ,1832,-132,18,国投安信  ,2054,6,
19,中辉期货  ,3329,590,19,兴业期货  ,1787,3,19,华泰期货  ,2041,448,
20,南华期货  ,3009,426,20,中航期货  ,1770,-2,20,首创期货  ,2025,-365,
合计,,189288,45072,合计,,70554,80,合计,,85439,-602,
合约代码 ：cu2006                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,12286,3464,1,金瑞期货  ,7406,320,1,中信期货  ,8725,-164,
2,东证期货  ,9647,417,2,中信期货  ,5359,-142,2,五矿经易  ,7535,149,
3,中信期货  ,7516,1198,3,国泰君安  ,3969,-47,3,中粮期货  ,5526,-63,
4,国富期货  ,6177,1759,4,弘业期货  ,2683,34,4,国贸期货  ,4902,217,
5,五矿经易  ,5990,2554,5,银河期货  ,2505,87,5,建信期货  ,4133,-109,
6,银河期货  ,4303,938,6,兴业期货  ,2473,-30,6,国投安信  ,3954,-405,
7,国信期货  ,3223,208,7,南华期货  ,2313,13,7,金瑞期货  ,3641,-100,
8,中辉期货  ,2005,546,8,建信期货  ,2117,-8,8,云晨期货  ,3168,0,
9,国投安信  ,1827,-231,9,方正中期  ,1968,-7,9,广发期货  ,2920,37,
10,华闻期货  ,1727,-458,10,中信建投  ,1891,196,10,银河期货  ,2828,16,
