

商品名称 ：铜                  2020-02-19,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,200097,-18534,期货公司  ,344196,4569,期货公司  ,338405,4584,
非期货公司,879,-824,非期货公司,2068,-49,非期货公司,7859,-64,
合约代码 ：cu2003                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,11087,-656,1,金瑞期货  ,7410,-197,1,五矿经易  ,14076,-152,
2,东证期货  ,4127,490,2,中信期货  ,6811,17,2,金瑞期货  ,10568,-218,
3,国富期货  ,3504,583,3,国贸期货  ,6341,221,3,中信期货  ,10222,-15,
4,五矿经易  ,3296,-1342,4,永安期货  ,6243,-94,4,国贸期货  ,5310,-123,
5,金瑞期货  ,2197,-845,5,中航期货  ,4614,0,5,国投安信  ,4661,-115,
6,海通期货  ,1805,308,6,华泰期货  ,3973,-152,6,银河期货  ,3516,2,
7,中信期货  ,1546,-246,7,一德期货  ,3388,-262,7,铜冠金源  ,3393,341,
8,国投安信  ,1510,-450,8,建信期货  ,3040,-93,8,建信期货  ,2830,-167,
9,国泰君安  ,1435,174,9,海通期货  ,2960,-150,9,华安期货  ,2713,173,
10,华安期货  ,1322,-77,10,国泰君安  ,2848,-101,10,一德期货  ,2669,47,
11,方正中期  ,1257,-371,11,银河期货  ,2778,-490,11,格林大华  ,2584,59,
12,铜冠金源  ,1204,-960,12,南华期货  ,2623,-176,12,国泰君安  ,2491,-846,
13,国信期货  ,1139,-34,13,五矿经易  ,2450,-160,13,中粮期货  ,1980,-416,
14,兴业期货  ,955,-64,14,云晨期货  ,2111,15,14,广发期货  ,1843,77,
15,国贸期货  ,792,-606,15,弘业期货  ,1952,-33,15,兴业期货  ,1774,-115,
16,兴证期货  ,779,-195,16,方正中期  ,1820,68,16,东证期货  ,1735,-56,
17,中银国际  ,739,-286,17,华安期货  ,1703,-35,17,迈科期货  ,1676,0,
18,银河期货  ,738,44,18,国投安信  ,1684,-159,18,中银国际  ,1667,-119,
19,南华期货  ,701,-277,19,新湖期货  ,1656,25,19,华泰期货  ,1463,-113,
20,一德期货  ,675,-432,20,信达期货  ,1588,-5,20,南华期货  ,1403,-87,
合计,,40808,-5242,合计,,67993,-1761,合计,,78574,-1843,
合约代码 ：cu2004                        2020-02-19,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,14182,-559,1,永安期货  ,8552,-20,1,中信期货  ,11131,-396,
2,东证期货  ,8164,-457,2,国泰君安  ,7624,-360,2,五矿经易  ,8374,-618,
3,海通期货  ,4072,417,3,金瑞期货  ,5854,2,3,金瑞期货  ,8139,1224,
4,五矿经易  ,3973,-718,4,华泰期货  ,5593,405,4,国泰君安  ,6537,768,
5,中信期货  ,3605,-665,5,中信期货  ,4727,35,5,国投安信  ,5921,-59,
6,国富期货  ,3231,-188,6,银河期货  ,3085,-15,6,国贸期货  ,5541,-268,
7,金瑞期货  ,2076,-18,7,新湖期货  ,2828,19,7,海通期货  ,5485,-553,
8,国泰君安  ,1970,4,8,南华期货  ,2703,-33,8,建信期货  ,5382,105,
9,方正中期  ,1735,283,9,东证期货  ,2687,-283,9,南华期货  ,3243,112,
10,华安期货  ,1726,704,10,兴业期货  ,2484,-44,10,新湖期货  ,2959,-3,
11,长江期货  ,1676,235,11,中国国际  ,2441,327,11,银河期货  ,2743,-34,
12,兴证期货  ,1622,-155,12,方正中期  ,2114,109,12,兴业期货  ,2276,-11,
13,中辉期货  ,1225,263,13,广发期货  ,2078,-42,13,华泰期货  ,2246,-259,
14,国信期货  ,1211,-173,14,国贸期货  ,2059,106,14,中银国际  ,2145,384,
15,南华期货  ,1191,228,15,五矿经易  ,1896,-143,15,方正中期  ,2123,862,
