					郑州商品交易所期货持仓排名表(2020-03-04)

品种：苹果AP              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |54,035      |-31,287   |中信期货      |7,055     |-288      |中信期货      |10,225    |124       
2     |中信期货      |20,442      |-9,759    |徽商期货      |5,749     |1,398     |鲁证期货      |8,774     |-613      
3     |光大期货      |19,196      |-6,910    |光大期货      |5,389     |208       |永安期货      |7,794     |182       
4     |华泰期货      |18,128      |-13,037   |方正中期      |4,319     |-437      |东证期货      |5,712     |-22       
5     |徽商期货      |17,220      |-6,847    |国投安信期货  |4,026     |-264      |徽商期货      |5,011     |1,460     
6     |东证期货      |16,032      |-1,332    |东证期货      |3,949     |-138      |海通期货      |4,631     |-847      
7     |东吴期货      |13,832      |-8,099    |永安期货      |3,853     |27        |宏源期货      |4,514     |47        
8     |华安期货      |12,766      |-5,477    |华泰期货      |3,835     |-187      |一德期货      |4,446     |198       
9     |国泰君安      |10,536      |-2,158    |银河期货      |3,750     |132       |国泰君安      |3,819     |-591      
10    |华闻期货      |10,481      |-11,630   |华安期货      |3,543     |-42       |光大期货      |3,782     |8         
11    |新湖期货      |7,752       |-6,266    |海通期货      |3,360     |-140      |招金期货      |3,444     |352       
12    |中信建投      |6,214       |-3,733    |国泰君安      |3,284     |-45       |海证期货      |3,408     |406       
13    |方正中期      |6,122       |-3,766    |东吴期货      |2,970     |290       |安粮期货      |3,336     |-112      
14    |永安期货      |5,441       |-5,133    |广发期货      |2,831     |-155      |中辉期货      |3,194     |81        
15    |申银万国      |5,156       |-2,558    |南华期货      |2,801     |-29       |华泰期货      |3,168     |-81       
16    |银河期货      |4,987       |-3,336    |东方财富      |2,751     |-16       |上海中期      |3,167     |568       
17    |安粮期货      |4,928       |-2,987    |平安期货      |2,474     |7         |国投安信期货  |2,473     |-19       
18    |东方财富      |4,901       |-4,980    |浙商期货      |2,426     |-213      |浙江新世纪    |2,378     |256       
19    |鲁证期货      |4,686       |-4,639    |中信建投      |2,411     |20        |浙商期货      |2,362     |-5        
20    |东航期货      |4,254       |-2,588    |中大期货      |2,246     |-80       |东航期货      |2,224     |24        
合计  |              |247109      |-136522   |                |73022     |48        |              |87862     |1416      

品种：棉花CF              日期： 2020-03-04
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |105,554     |-45,171   |永安期货      |60,062    |955       |东证期货      |54,490    |-344      
2     |东证期货      |33,592      |-13,435   |中信期货      |34,578    |-344      |中信期货      |50,422    |373       
3     |华闻期货      |33,140      |-14,763   |中粮期货      |30,174    |347       |国投安信期货  |44,573    |1,845     
4     |中信期货      |30,017      |-11,272   |华泰期货      |23,541    |-646      |中粮期货      |36,007    |560       
5     |光大期货      |28,841      |-14,717   |光大期货      |22,025    |-64       |永安期货      |30,945    |-261      
6     |华泰期货      |25,236      |-46,419   |国投安信期货  |21,872    |-162      |银河期货      |27,509    |-754      
