					郑州商品交易所期货持仓排名表(2020-02-19)

品种：苹果AP              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |31,917      |-7,532    |中信期货      |7,727     |111       |鲁证期货      |10,178    |325       
2     |新湖期货      |14,760      |894       |国泰君安      |4,318     |-83       |中信期货      |9,230     |195       
3     |中信期货      |13,040      |-2,980    |徽商期货      |4,266     |349       |永安期货      |7,859     |154       
4     |东证期货      |11,023      |1         |光大期货      |4,239     |23        |东证期货      |5,379     |244       
5     |华泰期货      |9,617       |-3,089    |方正中期      |4,199     |-117      |海通期货      |4,695     |194       
6     |光大期货      |9,199       |-3,449    |东证期货      |3,811     |23        |一德期货      |4,033     |549       
7     |徽商期货      |8,645       |-3,990    |永安期货      |3,737     |191       |安粮期货      |3,984     |89        
8     |华安期货      |7,630       |-1,841    |华泰期货      |3,710     |188       |海证期货      |3,922     |89        
9     |华闻期货      |6,584       |-5,019    |华安期货      |3,583     |-7        |宏源期货      |3,597     |47        
10    |东吴期货      |6,212       |-2,786    |海通期货      |3,428     |185       |光大期货      |3,355     |40        
11    |国泰君安      |5,631       |-733      |银河期货      |3,250     |65        |国泰君安      |3,343     |-6        
12    |申银万国      |4,804       |-687      |南华期货      |2,772     |-260      |倍特期货      |3,001     |103       
13    |鲁证期货      |4,799       |318       |长江期货      |2,716     |201       |华泰期货      |2,977     |-11       
14    |方正中期      |4,581       |-2,034    |安粮期货      |2,688     |151       |中辉期货      |2,933     |90        
15    |平安期货      |3,992       |-66       |国投安信期货  |2,454     |149       |上海中期      |2,751     |92        
16    |东方财富      |3,945       |-840      |广发期货      |2,425     |96        |华安期货      |2,606     |11        
17    |中辉期货      |3,907       |-1,192    |东吴期货      |2,385     |-282      |招金期货      |2,591     |147       
18    |安粮期货      |3,708       |-745      |申银万国      |2,328     |72        |徽商期货      |2,258     |-242      
19    |永安期货      |3,635       |-2,007    |上海中期      |2,297     |167       |银河期货      |2,256     |21        
20    |中信建投      |3,271       |-1,133    |东方财富      |2,260     |212       |中信建投      |2,213     |-128      
合计  |              |160900      |-38910    |                |68593     |1434      |              |83161     |2003      

品种：棉花CF              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |海通期货      |96,691      |-56,491   |永安期货      |54,011    |-344      |东证期货      |58,684    |1,018     
2     |华闻期货      |31,680      |-17,873   |中信期货      |32,203    |324       |中信期货      |49,005    |-246      
3     |东证期货      |24,834      |-26,514   |中粮期货      |24,688    |-450      |国投安信期货  |46,866    |-242      
4     |华泰期货      |24,339      |-29,368   |光大期货      |22,712    |-1,326    |永安期货      |34,055    |18        
5     |中辉期货      |19,276      |-20,783   |国投安信期货  |20,628    |-471      |中粮期货      |33,120    |-17       
6     |光大期货      |19,012      |-18,663   |东证期货      |19,527    |570       |银河期货      |31,703    |-639      
7     |中信期货      |16,438      |-30,729   |海通期货      |17,662    |1,336     |国贸期货      |25,575    |-60       
