交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200313	IF2003                        	期货公司	266866	51980	94142	4807	94142	4807			
20200313	IF2003                        	非期货公司	0	0	0	0	0	0			
20200313	IF2004                        	期货公司	32768	8652	18663	2144	18663	2144			
20200313	IF2004                        	非期货公司	0	0	0	0	0	0			
20200313	IF2006                        	期货公司	50156	14178	35736	3284	35736	3284			
20200313	IF2006                        	非期货公司	0	0	0	0	0	0			
20200313	IF2009                        	期货公司	10576	3954	12428	923	12428	923			
20200313	IF2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200313	IF2003                        	1	中信期货	19262	1308	国泰君安	8384	-350	中信期货	9573	-402
20200313	IF2003                        	2	国泰君安	17262	3007	中信期货	8250	192	上海东证	6044	-537
20200313	IF2003                        	3	海通期货	16176	3741	海通期货	6430	-136	海通期货	5600	838
20200313	IF2003                        	4	华泰期货	10220	2539	中金期货	5345	-351	申银万国	4816	-366
20200313	IF2003                        	5	银河期货	9406	2369	银河期货	3433	214	国泰君安	4813	94
20200313	IF2003                        	6	兴证期货	9188	2031	华泰期货	3422	373	华泰期货	3988	-17
20200313	IF2003                        	7	东兴期货	8872	1795	上海东证	3022	-38	国富期货	3965	420
20200313	IF2003                        	8	上海东证	7883	1137	东兴期货	2985	1472	银河期货	3225	-136
20200313	IF2003                        	9	申银万国	7640	2453	广发期货	2924	-71	东兴期货	3225	1462
20200313	IF2003                        	10	广发期货	7530	1088	兴证期货	2589	180	兴证期货	2485	170
20200313	IF2003                        	11	永安期货	7207	3165	申银万国	2523	294	广发期货	2372	-1
20200313	IF2003                        	12	国信期货	6745	1299	瑞银期货	2415	28	国信期货	2081	135
20200313	IF2003                        	13	方正中期	6499	871	永安期货	2110	-257	永安期货	1993	-150
20200313	IF2003                        	14	国投安信	6301	1181	五矿经易	1935	153	五矿经易	1777	251
20200313	IF2003                        	15	五矿经易	6290	914	国投安信	1865	417	国投安信	1732	98
20200313	IF2003                        	16	西部期货	5690	695	西部期货	1672	328	光大期货	1686	-43
20200313	IF2003                        	17	光大期货	5508	1252	方正中期	1546	-18	西部期货	1628	372
20200313	IF2003                        	18	招商期货	4539	386	光大期货	1451	59	方正中期	1478	-143
20200313	IF2003                        	19	中信建投	4057	505	中信建投	1451	155	中信建投	1473	112
20200313	IF2003                        	20	海证期货	3928	226	国信期货	1414	66	招商期货	1225	96
20200313	IF2004                        	1	中信期货	2988	708	海通期货	1931	-28	中信期货	2875	592
20200313	IF2004                        	2	上海东证	2110	177	国泰君安	1779	925	上海东证	2240	177
20200313	IF2004                        	3	国泰君安	1729	966	中信期货	1331	338	国信期货	1338	-112
20200313	IF2004                        	4	华西期货	1666	413	广发期货	1000	151	银河期货	942	89
20200313	IF2004                        	5	海通期货	1320	271	华泰期货	808	196	海通期货	906	-74
20200313	IF2004                        	6	西部期货	1281	336	永安期货	650	-5	广发期货	756	48
20200313	IF2004                        	7	华泰期货	1265	481	东兴期货	638	30	兴证期货	673	223
20200313	IF2004                        	8	国信期货	1250	99	西南期货	595	180	国泰君安	516	222
20200313	IF2004                        	9	兴证期货	1190	513	上海东证	565	-31	华西期货	500	-92
20200313	IF2004                        	10	银河期货	1127	432	宝城期货	539	-43	永安期货	480	9
20200313	IF2004                        	11	广发期货	927	78	大越期货	527	17	西部期货	405	83
20200313	IF2004                        	12	五矿经易	896	336	兴证期货	447	207	海证期货	384	140
20200313	IF2004                        	13	光大期货	809	192	一德期货	434	18	华泰期货	371	-75
20200313	IF2004                        	14	国投安信	748	303	西部期货	429	82	申银万国	362	123
20200313	IF2004                        	15	海证期货	653	369	天风期货	412	2	光大期货	299	34
20200313	IF2004                        	16	南华期货	583	183	银河期货	407	-40	国投安信	265	97
20200313	IF2004                        	17	华闻期货	573	102	五矿经易	403	-61	中信建投	263	36
20200313	IF2004                        	18	国富期货	547	200	华西期货	360	-104	恒泰期货	257	-47
20200313	IF2004                        	19	中信建投	520	87	浙商期货	314	5	中银国际	254	59
20200313	IF2004                        	20	东兴期货	505	189	国信期货	313	-172	长江期货	251	106
20200313	IF2006                        	1	中信期货	5123	596	中信期货	3380	296	上海东证	6680	466
20200313	IF2006                        	2	国泰君安	2671	616	上海东证	1806	-89	中信期货	3940	629
20200313	IF2006                        	3	银河期货	2536	1650	国泰君安	1680	562	平安期货	2425	144
20200313	IF2006                        	4	上海东证	2305	570	一德期货	1411	102	国泰君安	1834	-27
20200313	IF2006                        	5	国投安信	2304	755	华泰期货	1364	-94	华泰期货	1445	-82
20200313	IF2006                        	6	国信期货	2247	928	国投安信	1296	-106	海通期货	1370	264
20200313	IF2006                        	7	西部期货	1913	511	浙商期货	1130	0	广发期货	1230	57
