合约:IF2003交易日:20200213
成交量排名	持买单量排名	持卖单量排名
名次	会员简称	成交量	比上交易日增减	名次	会员简称	持买单量	比上交易日增减	名次	会员简称	持卖单量	比上交易日增减
1	中信期货	5274	-1134	1	中信期货	8174	-8	1	中信期货	5888	144
2	上海东证	2541	501	2	海通期货	4244	433	2	上海东证	5406	-159
3	国泰君安	2482	-154	3	国泰君安	4240	318	3	海通期货	4716	224
4	海通期货	2091	303	4	上海东证	3215	66	4	银河期货	3547	-90
5	华西期货	1937	432	5	广发期货	2756	304	5	国泰君安	3373	260
6	银河期货	1804	542	6	五矿经易	1895	15	6	华泰期货	2966	141
7	西部期货	1680	226	7	华泰期货	1854	75	7	国信期货	1749	-104
8	国信期货	1564	397	8	永安期货	1775	62	8	申银万国	1477	134
9	华泰期货	1518	449	9	申银万国	1551	131	9	中信建投	1460	148
10	五矿经易	1255	152	10	中金期货	1129	3	10	兴证期货	1219	213
11	广发期货	1242	279	11	国投安信	930	3	11	广发期货	1165	40
12	兴证期货	1178	170	12	南华期货	925	-45	12	招商期货	1103	76
13	光大期货	1132	216	13	宝城期货	908	30	13	建信期货	993	21
14	南华期货	1057	26	14	银河期货	886	-30	14	永安期货	988	-95
15	国投安信	1029	44	15	大越期货	834	-16	15	华西期货	985	120
16	申银万国	991	4	16	乾坤期货	825	0	16	光大期货	930	94
17	海证期货	959	682	17	一德期货	736	10	17	国投安信	894	70
18	华闻期货	933	266	18	中信建投	736	5	18	中金期货	800	51
19	永安期货	863	207	19	浙商期货	723	64	19	方正中期	774	26
20	中信建投	839	207	20	国信期货	695	-66	20	中银国际	653	11
合计		32369	3815			39031	1354			41086	1325
合约:IF2006交易日:20200213
成交量排名	持买单量排名	持卖单量排名
名次	会员简称	成交量	比上交易日增减	名次	会员简称	持买单量	比上交易日增减	名次	会员简称	持卖单量	比上交易日增减
1	上海东证	1443	219	1	中信期货	1513	0	1	上海东证	2860	226
2	中信期货	1118	-44	2	东吴期货	1385	-36	2	平安期货	2358	-16
3	华西期货	833	-264	3	上海东证	1114	17	3	中信期货	1983	-34
4	国泰君安	666	53	4	国泰君安	915	-62	4	国泰君安	1630	-22
5	国信期货	545	-61	5	华泰期货	908	-29	5	华泰期货	1216	22
6	海通期货	535	-49	6	一德期货	881	11	6	申银万国	875	24
7	西部期货	482	-27	7	浙商期货	871	9	7	瑞银期货	806	-370
8	华泰期货	403	-42	8	大越期货	816	0	8	广发期货	753	39
9	瑞银期货	370	-90	9	银河期货	777	-20	9	银河期货	737	-1
10	国投安信	361	72	10	大地期货	711	0	10	宝城期货	677	-45
11	光大期货	352	-52	11	中投天琪	684	42	11	永安期货	577	14
12	华闻期货	347	74	12	美尔雅	675	42	12	海通期货	576	-18
13	中信建投	309	-92	13	国投安信	657	-55	13	国投安信	360	8
14	国富期货	304	96	14	广发期货	637	-7	14	兴业期货	344	42
15	方正中期	298	13	15	东兴期货	471	13	15	东吴期货	329	25
16	招商期货	270	189	16	南华期货	469	49	16	中信建投	323	-42
17	兴证期货	250	-93	17	天风期货	441	13	17	中金期货	288	4
18	银河期货	245	-17	18	永安期货	434	21	18	光大期货	272	11
19	永安期货	231	69	19	申银万国	422	30	19	南华期货	264	-29
20	平安期货	217	-112	20	宝城期货	418	4	20	中粮期货	246	-5
合计		9579	-158			15199	42			17474	-167
合约:IF2002交易日:20200213
成交量排名	持买单量排名	持卖单量排名
名次	会员简称	成交量	比上交易日增减	名次	会员简称	持买单量	比上交易日增减	名次	会员简称	持卖单量	比上交易日增减
1	中信期货	11228	-314	1	中金期货	7759	845	1	中信期货	4780	-400
2	国泰君安	7468	-1097	2	中信期货	5678	-618	2	海通期货	3950	896
3	海通期货	7075	309	3	国泰君安	3355	-354	3	申银万国	3936	52
4	兴证期货	4949	97	4	海通期货	2886	251	4	国泰君安	3082	-332
5	银河期货	4279	579	5	华泰期货	1935	-146	5	上海东证	2718	-11
6	上海东证	4248	646	6	永安期货	1787	30	6	兴证期货	2033	70
7	东兴期货	4073	564	7	上海东证	1665	-1	7	华泰期货	1910	-28
8	五矿经易	3920	-203	8	五矿经易	1591	-18	8	广发期货	1580	56
9	方正中期	3821	-56	9	银河期货	1501	-63	9	银河期货	1499	-86
10	广发期货	3449	379	10	申银万国	1398	-88	10	招商期货	1405	-55
11	华泰期货	3310	-364	11	兴证期货	1374	-31	11	方正中期	1224	-50
12	申银万国	3168	280	12	方正中期	1209	-91	12	中信建投	1145	177
13	光大期货	2936	323	13	国投安信	1052	-17	13	国信期货	1124	129
14	德盛期货	2600	-202	14	东兴期货	985	-77	14	五矿经易	1111	-24
15	西部期货	2562	61	15	广发期货	902	-35	15	东兴期货	1070	6
16	国信期货	2508	-18	16	国信期货	896	105	16	光大期货	1053	75
17	国投安信	2281	-40	17	中信建投	894	128	17	中金期货	1028	-113
18	中信建投	2263	473	18	瑞银期货	871	244	18	东吴期货	975	74
19	永安期货	2215	672	19	南华期货	862	210	19	永安期货	935	159
20	招商期货	2080	71	20	光大期货	832	-81	20	南华期货	912	172
合计		80433	2160			39432	193			37470	767
