交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200303	IC2003                        	期货公司	274516	-2370	116829	-3095	116829	-3095			
20200303	IC2003                        	非期货公司	0	0	0	0	0	0			
20200303	IC2006                        	期货公司	56106	-126	49385	2802	49385	2802			
20200303	IC2006                        	非期货公司	0	0	0	0	0	0			
20200303	IC2009                        	期货公司	18082	-992	20128	932	20128	932			
20200303	IC2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200303	IC2003                        	1	中信期货	24355	1488	中信期货	10069	-554	中信期货	15197	-1071
20200303	IC2003                        	2	国泰君安	20982	1190	国泰君安	7722	-745	华泰期货	7440	-57
20200303	IC2003                        	3	海通期货	14961	-584	华泰期货	6549	713	国泰君安	6763	-399
20200303	IC2003                        	4	华泰期货	12120	-793	海通期货	5051	-183	海通期货	6159	122
20200303	IC2003                        	5	东兴期货	8852	-1683	广发期货	4270	-327	上海东证	5095	-209
20200303	IC2003                        	6	兴证期货	8594	-1847	瑞银期货	4222	0	永安期货	4597	-69
20200303	IC2003                        	7	方正中期	8289	928	永安期货	4043	-331	国投安信	4492	39
20200303	IC2003                        	8	上海东证	7526	-372	中金期货	4006	-88	银河期货	3864	-419
20200303	IC2003                        	9	永安期货	7328	-380	银河期货	3725	474	申银万国	3655	-59
20200303	IC2003                        	10	五矿经易	6617	-95	国投安信	3483	164	兴证期货	3381	-666
20200303	IC2003                        	11	申银万国	6511	363	上海东证	3301	-265	广发期货	2980	7
20200303	IC2003                        	12	银河期货	6325	136	申银万国	3226	432	光大期货	2722	-145
20200303	IC2003                        	13	西部期货	6223	143	方正中期	2805	-670	东兴期货	2678	374
20200303	IC2003                        	14	国投安信	6201	-48	兴证期货	2797	-222	中信建投	2555	250
20200303	IC2003                        	15	中信建投	5885	709	东兴期货	2596	280	国信期货	2444	-288
20200303	IC2003                        	16	光大期货	5755	-828	一德期货	2395	-585	方正中期	2062	165
20200303	IC2003                        	17	中融汇信	5084	549	五矿经易	2218	67	西部期货	1946	300
20200303	IC2003                        	18	广发期货	4936	-498	大地期货	1925	-19	招商期货	1810	-394
20200303	IC2003                        	19	国信期货	4877	-879	西部期货	1794	265	宏源期货	1791	224
20200303	IC2003                        	20	招商期货	4234	-475	中信建投	1775	399	中金期货	1664	50
20200303	IC2006                        	1	中信期货	6768	1529	中信期货	8057	1007	华泰期货	9349	143
20200303	IC2006                        	2	国泰君安	3519	426	华泰期货	3301	237	中信期货	5320	703
20200303	IC2006                        	3	华西期货	2406	-28	国泰君安	2491	-30	永安期货	3269	46
20200303	IC2006                        	4	兴证期货	2219	-131	中金期货	2365	22	海通期货	2652	-227
20200303	IC2006                        	5	海通期货	2146	-41	上海东证	2126	-136	东吴期货	2553	11
20200303	IC2006                        	6	光大期货	1995	-81	银河期货	1810	121	国投安信	2194	136
20200303	IC2006                        	7	上海东证	1943	-278	国投安信	1741	30	银河期货	2028	62
20200303	IC2006                        	8	国投安信	1844	34	海通期货	1642	-419	国泰君安	1864	133
20200303	IC2006                        	9	华泰期货	1816	-374	国富期货	1510	218	上海东证	1578	37
20200303	IC2006                        	10	西部期货	1815	355	永安期货	1246	18	兴证期货	1410	187
20200303	IC2006                        	11	国信期货	1560	-333	兴证期货	1169	240	南华期货	1349	527
20200303	IC2006                        	12	华闻期货	1499	-103	申银万国	1139	-3	申银万国	1165	14
20200303	IC2006                        	13	国富期货	1499	114	光大期货	957	98	光大期货	956	53
20200303	IC2006                        	14	南华期货	1411	778	五矿经易	862	28	华西期货	852	288
20200303	IC2006                        	15	中信建投	1277	33	华西期货	814	262	国信期货	822	231
20200303	IC2006                        	16	银河期货	1205	81	一德期货	740	22	国元期货	740	1
20200303	IC2006                        	17	中融汇信	1180	243	国信期货	722	243	西部期货	656	384
20200303	IC2006                        	18	新湖期货	1157	-65	大地期货	692	22	中融汇信	582	229
20200303	IC2006                        	19	五矿经易	922	213	西部期货	651	385	平安期货	580	-19
20200303	IC2006                        	20	方正中期	908	50	大越期货	620	8	广发期货	548	2
20200303	IC2009                        	1	上海东证	1405	-14	国泰君安	2363	151	华泰期货	3216	97
20200303	IC2009                        	2	海通期货	1185	26	中信期货	2293	51	国投安信	2725	67
20200303	IC2009                        	3	华西期货	1155	-217	海通期货	1810	97	中信期货	1763	227
20200303	IC2009                        	4	中信期货	1070	157	平安期货	1466	-17	中金期货	1589	0
20200303	IC2009                        	5	五矿经易	1002	145	上海东证	1093	37	上海东证	1312	14
20200303	IC2009                        	6	华泰期货	900	85	银河期货	679	-60	东吴期货	1144	1
20200303	IC2009                        	7	兴证期货	846	-117	兴证期货	595	106	永安期货	1105	-6
20200303	IC2009                        	8	国泰君安	814	-27	光大期货	547	35	海通期货	765	48
20200303	IC2009                        	9	平安期货	691	52	华泰期货	521	85	鲁证期货	607	3
20200303	IC2009                        	10	光大期货	616	-69	广发期货	501	108	国泰君安	528	131
20200303	IC2009                        	11	西部期货	470	32	中信建投	431	75	兴证期货	467	206
20200303	IC2009                        	12	国富期货	450	-10	永安期货	411	1	五矿经易	402	56
20200303	IC2009                        	13	中信建投	440	199	长江期货	401	-25	中信建投	357	33
20200303	IC2009                        	14	国信期货	395	-240	国投安信	382	-35	国富期货	296	65
