交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	IC2003                        	期货公司	276886	-60410	119924	-6959	119924	-6959			
20200302	IC2003                        	非期货公司	0	0	0	0	0	0			
20200302	IC2006                        	期货公司	56232	-8760	46583	-2223	46583	-2223			
20200302	IC2006                        	非期货公司	0	0	0	0	0	0			
20200302	IC2009                        	期货公司	19074	-5714	19196	-1122	19196	-1122			
20200302	IC2009                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200302	IC2003                        	1	中信期货	22867	-6217	中信期货	10623	-461	中信期货	16268	-770
20200302	IC2003                        	2	国泰君安	19792	-3081	国泰君安	8467	620	华泰期货	7497	-640
20200302	IC2003                        	3	海通期货	15545	-3265	华泰期货	5836	-711	国泰君安	7162	-32
20200302	IC2003                        	4	华泰期货	12913	-2524	海通期货	5234	-886	海通期货	6037	-669
20200302	IC2003                        	5	东兴期货	10535	505	广发期货	4597	482	上海东证	5304	-592
20200302	IC2003                        	6	兴证期货	10441	-558	永安期货	4374	149	永安期货	4666	-279
20200302	IC2003                        	7	上海东证	7898	-1911	瑞银期货	4222	-417	国投安信	4453	-259
20200302	IC2003                        	8	永安期货	7708	-2557	中金期货	4094	-22	银河期货	4283	-359
20200302	IC2003                        	9	方正中期	7361	-802	上海东证	3566	-136	兴证期货	4047	-233
20200302	IC2003                        	10	五矿经易	6712	-1691	方正中期	3475	-251	申银万国	3714	-119
20200302	IC2003                        	11	光大期货	6583	-1649	国投安信	3319	-612	广发期货	2973	230
20200302	IC2003                        	12	国投安信	6249	-357	银河期货	3251	-196	光大期货	2867	185
20200302	IC2003                        	13	银河期货	6189	-1196	兴证期货	3019	254	国信期货	2732	60
20200302	IC2003                        	14	申银万国	6148	-1137	一德期货	2980	-387	中信建投	2305	-262
20200302	IC2003                        	15	西部期货	6080	-174	申银万国	2794	-165	东兴期货	2304	-821
20200302	IC2003                        	16	国信期货	5756	-1094	东兴期货	2316	-794	招商期货	2204	119
20200302	IC2003                        	17	广发期货	5434	-2064	五矿经易	2151	-203	方正中期	1897	26
20200302	IC2003                        	18	中信建投	5176	-1539	大地期货	1944	-69	西部期货	1646	-142
20200302	IC2003                        	19	招商期货	4709	-1921	光大期货	1897	-70	中金期货	1614	109
20200302	IC2003                        	20	中融汇信	4535	-519	国信期货	1741	262	南华期货	1584	53
